global_subject_id,original_id,batch,activity,is_multi_activity,session,source_file,window_id,window_start_row,window_end_row,split,notes
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,0,0,5120,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,1,2560,7680,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,2,5120,10240,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,3,7680,12800,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,4,10240,15360,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,5,12800,17920,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,6,15360,20480,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,7,17920,23040,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,8,20480,25600,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,9,23040,28160,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,10,25600,30720,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,11,28160,33280,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,12,30720,35840,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,13,33280,38400,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,14,35840,40960,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,15,38400,43520,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,16,40960,46080,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,17,43520,48640,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,18,46080,51200,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,19,48640,53760,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,20,51200,56320,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,21,53760,58880,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,22,56320,61440,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,23,58880,64000,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,24,61440,66560,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,25,64000,69120,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,26,66560,71680,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,27,69120,74240,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,28,71680,76800,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,29,74240,79360,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,30,76800,81920,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,31,79360,84480,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,32,81920,87040,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,33,84480,89600,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,34,87040,92160,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,35,89600,94720,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,36,92160,97280,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,37,94720,99840,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,38,97280,102400,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,39,99840,104960,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,40,102400,107520,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,41,104960,110080,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,42,107520,112640,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,43,110080,115200,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,44,112640,117760,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,45,115200,120320,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,46,117760,122880,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,47,120320,125440,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,48,122880,128000,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,49,125440,130560,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,50,128000,133120,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,51,130560,135680,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,52,133120,138240,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,53,135680,140800,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,54,138240,143360,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,55,140800,145920,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,56,143360,148480,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,57,145920,151040,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,58,148480,153600,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,59,151040,156160,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,60,153600,158720,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,61,156160,161280,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,62,158720,163840,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,63,161280,166400,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,64,163840,168960,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,65,166400,171520,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,66,168960,174080,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,67,171520,176640,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,68,174080,179200,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,69,176640,181760,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,70,179200,184320,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,71,181760,186880,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,72,184320,189440,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,73,186880,192000,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,74,189440,194560,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,75,192000,197120,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,76,194560,199680,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,77,197120,202240,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,78,199680,204800,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,79,202240,207360,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,80,204800,209920,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,81,207360,212480,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,82,209920,215040,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,83,212480,217600,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,84,215040,220160,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,85,217600,222720,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,86,220160,225280,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,87,222720,227840,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,88,225280,230400,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,89,227840,232960,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,90,230400,235520,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,91,232960,238080,train,
S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,92,235520,240640,train,
S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,0,0,5120,train,
S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,1,2560,7680,train,
S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,2,5120,10240,train,
S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,3,7680,12800,train,
S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,4,10240,15360,train,
S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,5,12800,17920,train,
S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,6,15360,20480,train,
S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,7,17920,23040,train,
S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,8,20480,25600,train,
S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,9,23040,28160,train,
S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,10,25600,30720,train,
S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,11,28160,33280,train,
S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,12,30720,35840,train,
S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,13,33280,38400,train,
S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,14,35840,40960,train,
S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,15,38400,43520,train,
S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,16,40960,46080,train,
S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,17,43520,48640,train,
S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,18,46080,51200,train,
S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,19,48640,53760,train,
S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,20,51200,56320,train,
S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,21,53760,58880,train,
S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,22,56320,61440,train,
S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,23,58880,64000,train,
