sample_id,global_subject_id,original_id,batch,activity,is_multi_activity,session,source_file,window_id,window_start_row,window_end_row,split,notes,reason
718,S001,01,1,skipping,False,1,batch1\skipping\01_springen_80E9_center.csv,1,2560,7680,train,,insufficient_peaks(1)
719,S001,01,1,skipping,False,1,batch1\skipping\01_springen_80E9_center.csv,2,5120,10240,train,,insufficient_peaks(3)
728,S001,01,1,skipping,False,1,batch1\skipping\01_springen_80E9_center.csv,11,28160,33280,train,,insufficient_peaks(4)
730,S001,01,1,skipping,False,1,batch1\skipping\01_springen_80E9_center.csv,13,33280,38400,train,,insufficient_beats_after_edge_trim(4)
735,S001,01,1,skipping,False,1,batch1\skipping\01_springen_80E9_center.csv,18,46080,51200,train,,insufficient_peaks(4)
736,S001,01,1,skipping,False,1,batch1\skipping\01_springen_80E9_center.csv,19,48640,53760,train,,insufficient_peaks(1)
737,S001,01,1,skipping,False,1,batch1\skipping\01_springen_80E9_center.csv,20,51200,56320,train,,insufficient_peaks(4)
738,S001,01,1,skipping,False,1,batch1\skipping\01_springen_80E9_center.csv,21,53760,58880,train,,insufficient_peaks(2)
739,S001,01,1,skipping,False,1,batch1\skipping\01_springen_80E9_center.csv,22,56320,61440,train,,insufficient_peaks(4)
744,S001,01,1,skipping,False,1,batch1\skipping\01_springen_80E9_center.csv,27,69120,74240,train,,insufficient_peaks(3)
745,S001,01,1,skipping,False,1,batch1\skipping\01_springen_80E9_center.csv,28,71680,76800,train,,insufficient_peaks(4)
746,S001,01,1,skipping,False,1,batch1\skipping\01_springen_80E9_center.csv,29,74240,79360,train,,insufficient_peaks(3)
747,S001,01,1,skipping,False,1,batch1\skipping\01_springen_80E9_center.csv,30,76800,81920,train,,insufficient_peaks(3)
2471,S017,Kay,2,skipping,False,1,batch2\skipping\skipping_Kay.csv,13,33280,38400,train,,insufficient_beats_after_edge_trim(4)
2960,S022,Peggy,2,stairs_down,False,1,batch2\stairs_down\stairs_down_Peggy.csv,17,43520,48640,train,,insufficient_peaks(3)
2961,S022,Peggy,2,stairs_down,False,1,batch2\stairs_down\stairs_down_Peggy.csv,18,46080,51200,train,,insufficient_peaks(3)
2963,S022,Peggy,2,stairs_down,False,1,batch2\stairs_down\stairs_down_Peggy.csv,20,51200,56320,train,,insufficient_peaks(4)
4647,S028,S38,4,running,False,1,batch4\running\S38_R.csv,2,5120,10240,val,,insufficient_peaks(4)
4648,S028,S38,4,running,False,1,batch4\running\S38_R.csv,3,7680,12800,val,,insufficient_peaks(4)
4649,S028,S38,4,running,False,1,batch4\running\S38_R.csv,4,10240,15360,val,,insufficient_peaks(3)
4650,S028,S38,4,running,False,1,batch4\running\S38_R.csv,5,12800,17920,val,,insufficient_peaks(3)
4651,S028,S38,4,running,False,1,batch4\running\S38_R.csv,6,15360,20480,val,,insufficient_peaks(2)
4653,S028,S38,4,running,False,1,batch4\running\S38_R.csv,8,20480,25600,val,,insufficient_beats_after_edge_trim(4)
4654,S028,S38,4,running,False,1,batch4\running\S38_R.csv,9,23040,28160,val,,insufficient_peaks(2)
4657,S028,S38,4,running,False,1,batch4\running\S38_R.csv,12,30720,35840,val,,insufficient_peaks(3)
5838,S017,Kay,4,skipping,False,2,batch4\skipping\skipping_Kay.csv,13,33280,38400,test,,insufficient_beats_after_edge_trim(4)
9124,S066,s14,6,running,False,1,batch6\running\running_s14.csv,0,0,5120,train,,missing_primary_ecg_column
9125,S066,s14,6,running,False,1,batch6\running\running_s14.csv,1,2560,7680,train,,missing_primary_ecg_column
9126,S066,s14,6,running,False,1,batch6\running\running_s14.csv,2,5120,10240,train,,missing_primary_ecg_column
9127,S066,s14,6,running,False,1,batch6\running\running_s14.csv,3,7680,12800,train,,missing_primary_ecg_column
9128,S066,s14,6,running,False,1,batch6\running\running_s14.csv,4,10240,15360,train,,missing_primary_ecg_column
9129,S066,s14,6,running,False,1,batch6\running\running_s14.csv,5,12800,17920,train,,missing_primary_ecg_column
9130,S066,s14,6,running,False,1,batch6\running\running_s14.csv,6,15360,20480,train,,missing_primary_ecg_column
9131,S066,s14,6,running,False,1,batch6\running\running_s14.csv,7,17920,23040,train,,missing_primary_ecg_column
9132,S066,s14,6,running,False,1,batch6\running\running_s14.csv,8,20480,25600,train,,missing_primary_ecg_column
9133,S066,s14,6,running,False,1,batch6\running\running_s14.csv,9,23040,28160,train,,missing_primary_ecg_column
9134,S066,s14,6,running,False,1,batch6\running\running_s14.csv,10,25600,30720,train,,missing_primary_ecg_column
9135,S066,s14,6,running,False,1,batch6\running\running_s14.csv,11,28160,33280,train,,missing_primary_ecg_column
9136,S066,s14,6,running,False,1,batch6\running\running_s14.csv,12,30720,35840,train,,missing_primary_ecg_column
9137,S066,s14,6,running,False,1,batch6\running\running_s14.csv,13,33280,38400,train,,missing_primary_ecg_column
9138,S066,s14,6,running,False,1,batch6\running\running_s14.csv,14,35840,40960,train,,missing_primary_ecg_column
9139,S066,s14,6,running,False,1,batch6\running\running_s14.csv,15,38400,43520,train,,missing_primary_ecg_column
9140,S066,s14,6,running,False,1,batch6\running\running_s14.csv,16,40960,46080,train,,missing_primary_ecg_column
9141,S066,s14,6,running,False,1,batch6\running\running_s14.csv,17,43520,48640,train,,missing_primary_ecg_column
9142,S066,s14,6,running,False,1,batch6\running\running_s14.csv,18,46080,51200,train,,missing_primary_ecg_column
9143,S066,s14,6,running,False,1,batch6\running\running_s14.csv,19,48640,53760,train,,missing_primary_ecg_column
9144,S066,s14,6,running,False,1,batch6\running\running_s14.csv,20,51200,56320,train,,missing_primary_ecg_column
9145,S066,s14,6,running,False,1,batch6\running\running_s14.csv,21,53760,58880,train,,missing_primary_ecg_column
9146,S066,s14,6,running,False,1,batch6\running\running_s14.csv,22,56320,61440,train,,missing_primary_ecg_column
9147,S066,s14,6,running,False,1,batch6\running\running_s14.csv,23,58880,64000,train,,missing_primary_ecg_column
9148,S067,s15,6,running,False,1,batch6\running\running_s15.csv,0,0,5120,train,,missing_primary_ecg_column
9149,S067,s15,6,running,False,1,batch6\running\running_s15.csv,1,2560,7680,train,,missing_primary_ecg_column
9150,S067,s15,6,running,False,1,batch6\running\running_s15.csv,2,5120,10240,train,,missing_primary_ecg_column
9151,S067,s15,6,running,False,1,batch6\running\running_s15.csv,3,7680,12800,train,,missing_primary_ecg_column
9152,S067,s15,6,running,False,1,batch6\running\running_s15.csv,4,10240,15360,train,,missing_primary_ecg_column
9153,S067,s15,6,running,False,1,batch6\running\running_s15.csv,5,12800,17920,train,,missing_primary_ecg_column
9154,S067,s15,6,running,False,1,batch6\running\running_s15.csv,6,15360,20480,train,,missing_primary_ecg_column
9155,S067,s15,6,running,False,1,batch6\running\running_s15.csv,7,17920,23040,train,,missing_primary_ecg_column
9156,S067,s15,6,running,False,1,batch6\running\running_s15.csv,8,20480,25600,train,,missing_primary_ecg_column
9157,S067,s15,6,running,False,1,batch6\running\running_s15.csv,9,23040,28160,train,,missing_primary_ecg_column
9158,S067,s15,6,running,False,1,batch6\running\running_s15.csv,10,25600,30720,train,,missing_primary_ecg_column
9159,S067,s15,6,running,False,1,batch6\running\running_s15.csv,11,28160,33280,train,,missing_primary_ecg_column
9160,S067,s15,6,running,False,1,batch6\running\running_s15.csv,12,30720,35840,train,,missing_primary_ecg_column
9161,S067,s15,6,running,False,1,batch6\running\running_s15.csv,13,33280,38400,train,,missing_primary_ecg_column
9162,S067,s15,6,running,False,1,batch6\running\running_s15.csv,14,35840,40960,train,,missing_primary_ecg_column
9163,S067,s15,6,running,False,1,batch6\running\running_s15.csv,15,38400,43520,train,,missing_primary_ecg_column
9164,S067,s15,6,running,False,1,batch6\running\running_s15.csv,16,40960,46080,train,,missing_primary_ecg_column
9165,S067,s15,6,running,False,1,batch6\running\running_s15.csv,17,43520,48640,train,,missing_primary_ecg_column
9166,S067,s15,6,running,False,1,batch6\running\running_s15.csv,18,46080,51200,train,,missing_primary_ecg_column
9167,S067,s15,6,running,False,1,batch6\running\running_s15.csv,19,48640,53760,train,,missing_primary_ecg_column
9168,S067,s15,6,running,False,1,batch6\running\running_s15.csv,20,51200,56320,train,,missing_primary_ecg_column
9169,S067,s15,6,running,False,1,batch6\running\running_s15.csv,21,53760,58880,train,,missing_primary_ecg_column
9170,S067,s15,6,running,False,1,batch6\running\running_s15.csv,22,56320,61440,train,,missing_primary_ecg_column
9418,S066,s14,6,sitting,False,1,batch6\sitting\sitting_s14.csv,0,0,5120,train,,missing_primary_ecg_column
9419,S066,s14,6,sitting,False,1,batch6\sitting\sitting_s14.csv,1,2560,7680,train,,missing_primary_ecg_column
9420,S066,s14,6,sitting,False,1,batch6\sitting\sitting_s14.csv,2,5120,10240,train,,missing_primary_ecg_column
9421,S066,s14,6,sitting,False,1,batch6\sitting\sitting_s14.csv,3,7680,12800,train,,missing_primary_ecg_column
9422,S066,s14,6,sitting,False,1,batch6\sitting\sitting_s14.csv,4,10240,15360,train,,missing_primary_ecg_column
9423,S066,s14,6,sitting,False,1,batch6\sitting\sitting_s14.csv,5,12800,17920,train,,missing_primary_ecg_column
9424,S066,s14,6,sitting,False,1,batch6\sitting\sitting_s14.csv,6,15360,20480,train,,missing_primary_ecg_column
