sample_id,global_subject_id,original_id,batch,activity,is_multi_activity,session,source_file,window_id,window_start_row,window_end_row,split,notes,processed_path,n_beats,n_peaks,reused
0,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,0,0,5120,train,,processed\S001\000000.npz,16,17,False
1,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,1,2560,7680,train,,processed\S001\000001.npz,17,17,False
2,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,2,5120,10240,train,,processed\S001\000002.npz,17,18,False
3,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,3,7680,12800,train,,processed\S001\000003.npz,18,18,False
4,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,4,10240,15360,train,,processed\S001\000004.npz,19,20,False
5,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,5,12800,17920,train,,processed\S001\000005.npz,18,19,False
6,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,6,15360,20480,train,,processed\S001\000006.npz,18,19,False
7,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,7,17920,23040,train,,processed\S001\000007.npz,19,19,False
8,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,8,20480,25600,train,,processed\S001\000008.npz,18,19,False
9,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,9,23040,28160,train,,processed\S001\000009.npz,18,19,False
10,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,10,25600,30720,train,,processed\S001\000010.npz,18,19,False
11,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,11,28160,33280,train,,processed\S001\000011.npz,18,19,False
12,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,12,30720,35840,train,,processed\S001\000012.npz,18,19,False
13,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,13,33280,38400,train,,processed\S001\000013.npz,19,19,False
14,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,14,35840,40960,train,,processed\S001\000014.npz,19,20,False
15,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,15,38400,43520,train,,processed\S001\000015.npz,19,20,False
16,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,16,40960,46080,train,,processed\S001\000016.npz,19,20,False
17,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,17,43520,48640,train,,processed\S001\000017.npz,19,20,False
18,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,18,46080,51200,train,,processed\S001\000018.npz,19,20,False
19,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,19,48640,53760,train,,processed\S001\000019.npz,19,20,False
20,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,20,51200,56320,train,,processed\S001\000020.npz,19,19,False
21,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,21,53760,58880,train,,processed\S001\000021.npz,19,20,False
22,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,22,56320,61440,train,,processed\S001\000022.npz,19,20,False
23,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,23,58880,64000,train,,processed\S001\000023.npz,20,20,False
24,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,24,61440,66560,train,,processed\S001\000024.npz,19,20,False
25,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,25,64000,69120,train,,processed\S001\000025.npz,20,20,False
26,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,26,66560,71680,train,,processed\S001\000026.npz,19,20,False
27,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,27,69120,74240,train,,processed\S001\000027.npz,20,21,False
28,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,28,71680,76800,train,,processed\S001\000028.npz,20,21,False
29,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,29,74240,79360,train,,processed\S001\000029.npz,19,20,False
30,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,30,76800,81920,train,,processed\S001\000030.npz,20,21,False
31,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,31,79360,84480,train,,processed\S001\000031.npz,19,20,False
32,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,32,81920,87040,train,,processed\S001\000032.npz,19,19,False
33,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,33,84480,89600,train,,processed\S001\000033.npz,18,19,False
34,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,34,87040,92160,train,,processed\S001\000034.npz,18,18,False
35,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,35,89600,94720,train,,processed\S001\000035.npz,18,19,False
36,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,36,92160,97280,train,,processed\S001\000036.npz,18,19,False
37,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,37,94720,99840,train,,processed\S001\000037.npz,17,18,False
38,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,38,97280,102400,train,,processed\S001\000038.npz,17,18,False
39,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,39,99840,104960,train,,processed\S001\000039.npz,16,17,False
40,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,40,102400,107520,train,,processed\S001\000040.npz,16,17,False
41,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,41,104960,110080,train,,processed\S001\000041.npz,16,16,False
42,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,42,107520,112640,train,,processed\S001\000042.npz,17,18,False
43,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,43,110080,115200,train,,processed\S001\000043.npz,16,17,False
44,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,44,112640,117760,train,,processed\S001\000044.npz,16,17,False
45,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,45,115200,120320,train,,processed\S001\000045.npz,16,16,False
46,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,46,117760,122880,train,,processed\S001\000046.npz,16,16,False
47,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,47,120320,125440,train,,processed\S001\000047.npz,17,17,False
48,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,48,122880,128000,train,,processed\S001\000048.npz,17,17,False
49,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,49,125440,130560,train,,processed\S001\000049.npz,16,17,False
50,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,50,128000,133120,train,,processed\S001\000050.npz,16,16,False
51,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,51,130560,135680,train,,processed\S001\000051.npz,17,17,False
52,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,52,133120,138240,train,,processed\S001\000052.npz,17,17,False
53,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,53,135680,140800,train,,processed\S001\000053.npz,16,17,False
54,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,54,138240,143360,train,,processed\S001\000054.npz,16,17,False
55,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,55,140800,145920,train,,processed\S001\000055.npz,16,17,False
56,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,56,143360,148480,train,,processed\S001\000056.npz,17,17,False
57,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,57,145920,151040,train,,processed\S001\000057.npz,17,18,False
58,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,58,148480,153600,train,,processed\S001\000058.npz,16,17,False
59,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,59,151040,156160,train,,processed\S001\000059.npz,15,16,False
60,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,60,153600,158720,train,,processed\S001\000060.npz,16,16,False
61,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,61,156160,161280,train,,processed\S001\000061.npz,15,16,False
62,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,62,158720,163840,train,,processed\S001\000062.npz,16,16,False
63,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,63,161280,166400,train,,processed\S001\000063.npz,16,17,False
64,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,64,163840,168960,train,,processed\S001\000064.npz,15,16,False
65,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,65,166400,171520,train,,processed\S001\000065.npz,15,16,False
66,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,66,168960,174080,train,,processed\S001\000066.npz,16,16,False
67,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,67,171520,176640,train,,processed\S001\000067.npz,16,16,False
68,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,68,174080,179200,train,,processed\S001\000068.npz,16,16,False
69,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,69,176640,181760,train,,processed\S001\000069.npz,16,17,False
70,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,70,179200,184320,train,,processed\S001\000070.npz,16,17,False
71,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,71,181760,186880,train,,processed\S001\000071.npz,17,18,False
72,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,72,184320,189440,train,,processed\S001\000072.npz,17,17,False
