global_subject_id,batches,original_ids,is_cross_session,first_appearance_batch,n_sessions,activities,notes
S001,1,01,False,1,1,bending|running|sitting|skipping|stairs_combined|standing|walking,
S002,1,02,False,1,1,bending|running|sitting|skipping|stairs_combined|standing|walking,
S003,1,03,False,1,1,bending|running|sitting|skipping|stairs_combined|standing|walking,
S004,1,04,False,1,1,bending|running|sitting|skipping|stairs_combined|standing|walking,
S005,1,05,False,1,1,bending|running|sitting|skipping|stairs_combined|standing|walking,
S006,1,06,False,1,1,bending|running|sitting|skipping|stairs_combined|standing|walking,
S007,1,07,False,1,1,bending|running|sitting|skipping|stairs_combined|standing|walking,
S008,1,08,False,1,1,bending|running|sitting|skipping|stairs_combined|standing|walking,
S009,2|4,Antonia,True,2,2,running|sitting|skipping|stairs_down|stairs_up|standing|walking,
S010,2|4,Daniel,True,2,2,running|sitting|skipping|stairs_down|stairs_up|standing|walking,
S011,2|4,Elisabeth,True,2,2,running|sitting|skipping|stairs_down|stairs_up|standing|walking,
S012,2,Freya,False,2,1,running|sitting|skipping|stairs_down|stairs_up|standing|walking,
S013,2,Gina,False,2,1,running|sitting|skipping|stairs_down|stairs_up|standing|walking,
S014,2,Horst,False,2,1,running|sitting|skipping|stairs_down|stairs_up|standing|walking,
S015,2|4,Johanna,True,2,2,running|sitting|skipping|stairs_down|stairs_up|standing|walking,
S016,2|4,Julia,True,2,2,running|sitting|skipping|stairs_down|stairs_up|standing|walking,
S017,2|4,Kay,True,2,2,running|sitting|skipping|stairs_down|stairs_up|standing|walking,
S018,2|4,Marie,True,2,2,running|sitting|skipping|stairs_down|stairs_up|standing|walking,
S019,2|4,Nhung,True,2,2,running|sitting|skipping|stairs_down|stairs_up|standing|walking,
S020,2|4,Paul,True,2,2,running|sitting|skipping|stairs_down|stairs_up|standing|walking,
S021,2,Paulus,False,2,1,running|sitting|skipping|stairs_down|stairs_up|standing|walking,
S022,2,Peggy,False,2,1,running|sitting|skipping|stairs_down|stairs_up|standing|walking,
S023,2|4,Sebastian,True,2,2,running|sitting|skipping|stairs_down|stairs_up|standing|walking,filename says 'stairs_down' but folder is 'skipping' — inspect IMU to confirm true activity
S024,2|4,Sophie,True,2,2,running|sitting|skipping|stairs_down|stairs_up|standing|walking,filename says 'stairs_down' but folder is 'skipping' — inspect IMU to confirm true activity
S025,4,S35,False,4,1,badminton|running|sitting|skipping|stairs_down|standing|walking,
S026,4,S36,False,4,1,badminton|running|sitting|skipping|stairs_down|stairs_up|standing|walking,
S027,4,S37,False,4,1,badminton|running|sitting|skipping|stairs_down|stairs_up|standing,
S028,4,S38,False,4,1,badminton|running|sitting|skipping|stairs_down|stairs_up|standing|walking,
S029,4,S39,False,4,1,badminton|running|sitting|stairs_down|stairs_up|standing|walking,
S030,4,S40,False,4,1,badminton|running|sitting|stairs_down|stairs_up|standing|walking,
S031,4,S41,False,4,1,badminton|running|sitting|stairs_down|stairs_up|standing,
S032,4,S42,False,4,1,badminton|running|sitting|stairs_down|stairs_up|standing|walking,
S033,4,S43,False,4,1,badminton|running|sitting|stairs_down|stairs_up|standing|walking,
S034,4,S44,False,4,1,badminton|running|sitting|stairs_down|stairs_up|standing|walking,
